ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(°C),Water Temp(°C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
420533071,Photo,Churrete de Vientre Blanco,Cinclodes palliatus,,Ben  Lucking,2022-02-11,2022,2,11,714,Peru,PE-LIM,Lima,,"Auto selected -11.60202, -76.19822",-11.6020190,-76.1982200,"",,Unspecified,"","",,,,,,,S102445319,"",,,,,Cinclodes palliatus,whbcin1,Species,,,4.97,72,,1910,2864
424831091,Photo,Tangara-de-Montaña de Dorso Dorado,Cnemathraupis aureodorsalis,,Ben  Lucking,2022-02-08,2022,2,8,535,Peru,PE-HUC,Huánuco,,Bosque Unchog (Valqui D5.3),-9.7373144,-76.1698347,Immature – 1,,Unspecified,"","",,,,,,,S102308626,"",,,,,Cnemathraupis aureodorsalis,gbmtan1,Species,,,4.92,98,,2665,3997
425295251,Photo,Mosquerito Canela,Pyrrhomyias cinnamomeus,,Oscar Wainwright,2022-02-02,2022,2,2,1544,Peru,PE-JUN,Junín,,"Auto selected -11.53201, -74.81573",-11.5320150,-74.8157270,"",,Unspecified,"","",,,,,,,S102709987,"",,,,,Pyrrhomyias cinnamomeus,cinfly2,Species,,,4.98,65,,3566,5350
61673381,Photo,Churrete de Vientre Blanco,Cinclodes palliatus,,Anonymous,2013-07-06,2013,7,6,1007,Peru,PE-LIM,Lima,,"PE-Junín Region - -11.6225x-76.2366 - Jul 9, 2013, 9:12 AM",-11.6225490,-76.2365640,"",,Unspecified,"","",,,,,,,S14981329,"",,,,"High Count: very careful count of this critically endangered bird; group of 4 in one area and 6 in another;",Cinclodes palliatus,whbcin1,Species,14481,,4.98,63,,2562,3790
428368961,Photo,Halcón Aplomado,Falco femoralis,,Ben  Lucking,2022-02-10,2022,2,10,1016,Peru,PE-JUN,Junín,,"Auto selected -11.00166, -76.22132",-11.0016600,-76.2213180,"",,Unspecified,"","",,,,,,,S102398373,"",,,,,Falco femoralis,aplfal,Species,,,4.97,67,,1732,2598
420877521,Photo,Estrella de Pecho Negro,Oreotrochilus melanogaster,,Ben  Lucking,2022-02-10,2022,2,10,1054,Peru,PE-JUN,Junín,,RN de Junín--Mirador de Conoc,-11.0549620,-76.1568626,Adult Male – 1,,Unspecified,"","",,,,,,,S102398412,"",,,,,Oreotrochilus melanogaster,blbhil1,Species,,,4.94,77,,2875,4312
172494391,Photo,Brillante de Frente Violeta,Heliodoxa leadbeateri,,Alex Wiebe,2019-08-03,2019,8,3,1159,Peru,PE-CUS,Cuzco [Cusco],,Cock-of-the-Rock Lodge & Manu Paradise Lodge,-13.0558486,-71.5452057,"",,Unspecified,"","",,,,,,,S58873812,"",,,,,Heliodoxa leadbeateri,vifbri1,Species,4601,,4.98,56,,,
416889031,Photo,Tangara de Flanco Pardo,Thlypopsis pectoralis,,Ben  Lucking,2022-02-08,2022,2,8,1321,Peru,PE-HUC,Huánuco,,Bosque Montepotrero,-9.9040398,-76.0597687,"",,Unspecified,"","",,,,,,,S102309040,"",,,,,Thlypopsis pectoralis,brftan1,Species,33583,,4.95,60,,2997,4496
425610431,Photo,Pardusco,Nephelornis oneilli,,Ben  Lucking,2022-02-08,2022,2,8,535,Peru,PE-HUC,Huánuco,,Bosque Unchog (Valqui D5.3),-9.7373144,-76.1698347,"",Vocalizing,Unspecified,"","",,,,,,,S102308626,"",,,,,Nephelornis oneilli,pardus2,Species,,,4.93,67,"",1957,2935
423731971,Photo,Chorlo Cordillerano,Phegornis mitchellii,,Ben  Lucking,2022-02-11,2022,2,11,945,Peru,PE-LIM,Lima,,"Auto selected -11.58190, -76.26384",-11.5819000,-76.2638400,Immature – 1,,Unspecified,"","",,,,,,,S102445346,"",,,,,Phegornis mitchellii,diaplo1,Species,,,4.88,88,,1888,2833
420074571,Photo,Gaviotín Zarcillo,Larosterna inca,,Brandon Nidiffer,2022-01-29,2022,1,29,827,Peru,PE-LIM,Lima,,El Salto del Fraile,-12.1705163,-77.0366330,Adult – 1,,Unspecified,"","",,,,,,,S102250557,"",,,,,Larosterna inca,incter1,Species,,,4.95,58,,3876,5814
372577351,Photo,Gaviotín Zarcillo,Larosterna inca,,Jory Teltser,2021-09-23,2021,9,23,750,Peru,PE-LIM,Lima,,Isla Pucusana,-12.4758920,-76.8004203,"",,Unspecified,"","",,,,,,,S95051528,"",,,,,Larosterna inca,incter1,Species,,,4.86,88,,1525,2286
427777081,Photo,Ibis de la Puna,Plegadis ridgwayi,,Ben  Lucking,2022-02-10,2022,2,10,1037,Peru,PE-JUN,Junín,,"Auto selected -11.04416, -76.18771",-11.0441600,-76.1877080,"",,Unspecified,"","",,,,,,,S102398395,"",,,,,Plegadis ridgwayi,punibi1,Species,7350,,4.95,56,,3031,4546
422890781,Photo,Gaviotín Zarcillo,Larosterna inca,,Ben  Lucking,2022-01-29,2022,1,29,827,Peru,PE-LIM,Lima,,El Salto del Fraile,-12.1705163,-77.0366330,"",,Unspecified,"","",,,,,,,S101644501,"",,,,,Larosterna inca,incter1,Species,,,4.90,70,,3144,4716
443501381,Photo,Gaviotín Zarcillo,Larosterna inca,,Oscar Wainwright,2022-01-29,2022,1,29,827,Peru,PE-LIM,Lima,,El Salto del Fraile,-12.1705163,-77.0366330,"",,Unspecified,"","",,,,,,,S102644969,"",,,,,Larosterna inca,incter1,Species,,,4.95,55,,2811,4216
239207461,Photo,Tangara de Collar Dorado,Iridosornis jelskii,,Peter Hawrylyshyn,2016-09-18,2016,9,18,617,Peru,PE-CUS,Cuzco [Cusco],,ACP Pillco Grande--Carretera a Tres Cruces,-13.1569983,-71.6335483,Adult Male – 1,"",Unspecified,"","",,,,,,,S31762278,"",,,,,Iridosornis jelskii,goctan3,Species,,,4.88,74,Habitat,1480,2221
421104151,Photo,Gaviotín Zarcillo,Larosterna inca,,Oscar Wainwright,2022-01-29,2022,1,29,827,Peru,PE-LIM,Lima,,El Salto del Fraile,-12.1705163,-77.0366330,"",,Unspecified,"","",,,,,,,S102644969,"",,,,,Larosterna inca,incter1,Species,,,4.91,58,,3485,5227
26475981,Photo,Hoazín,Opisthocomus hoazin,,Rhys Marsh,2016-03-06,2016,3,6,1545,Peru,PE-LOR,Loreto,,Rio Ucayali--Lago El Dorado,-5.0411004,-74.0732360,"",,Unspecified,"","",,,,,,,S28133291,"",,,A parent with two juveniles during a rain storm,,Opisthocomus hoazin,hoatzi1,Species,,,4.89,64,,800,673
417775141,Photo,Gaviotín Zarcillo,Larosterna inca,,Ben  Lucking,2022-01-29,2022,1,29,827,Peru,PE-LIM,Lima,,El Salto del Fraile,-12.1705163,-77.0366330,Adult – 1,,Unspecified,"","",,,,,,,S101644501,"",,,,,Larosterna inca,incter1,Species,,,4.87,71,,3507,5261
372577431,Photo,Pingüino de Humboldt,Spheniscus humboldti,,Jory Teltser,2021-09-23,2021,9,23,750,Peru,PE-LIM,Lima,,Isla Pucusana,-12.4758920,-76.8004203,"",,Unspecified,"","",,,,,,,S95051528,"",,,,,Spheniscus humboldti,humpen1,Species,,,4.91,54,,2224,3336
64385171,Photo,Golondrina de Mar de Wilson (chilensis),Oceanites oceanicus chilensis,,Brian Sullivan,2017-07-12,2017,7,12,926,Peru,PE-CAL,El Callao,,"South Pacific Ocean (-12.2670,-77.6350)",-12.2669820,-77.6350290,"",,Unspecified,"","",,,,,,,S38106288,"",,,,,Oceanites oceanicus,wilstp1,Group,,,4.93,54,,1500,2500
372577301,Photo,Faláropo de Pico Fino,Phalaropus lobatus,,Jory Teltser,2021-09-23,2021,9,23,750,Peru,PE-LIM,Lima,,Isla Pucusana,-12.4758920,-76.8004203,"",,Unspecified,"","",,,,,,,S95051528,"",,,,Z,Phalaropus lobatus,renpha,Species,6021,,4.98,40,,2693,4039
420089781,Photo,Tangara Verde Esmeralda,Chlorornis riefferii,,Ben  Lucking,2022-02-02,2022,2,2,1544,Peru,PE-JUN,Junín,,"Auto selected -11.53201, -74.81573",-11.5320150,-74.8157270,"",,Unspecified,"","",,,,,,,S101934965,"",,,,,Chlorornis riefferii,grgtan1,Species,33713,,4.90,51,,2557,3835
435969181,Photo,Gaviotín Zarcillo,Larosterna inca,,Ben  Lucking,2022-01-29,2022,1,29,827,Peru,PE-LIM,Lima,,El Salto del Fraile,-12.1705163,-77.0366330,"",,Unspecified,"","",,,,,,,S101644501,"",,,,,Larosterna inca,incter1,Species,6502,,4.89,54,,2695,4042
62216621,Photo,Tangara de Vientre Amarillo,Ixothraupis xanthogastra,,Oscar Johnson,2015-09-21,2015,9,21,700,Peru,PE-UCA,Ucayali,,River valley E of Kirahuanero camp,-10.7019130,-74.2029950,"","",Unspecified,"","",,,,,,,S25771873,"",,,,,Ixothraupis xanthogastra,yebtan2,Species,,,4.97,39,In-hand,1530,2183
372577291,Photo,Faláropo de Pico Fino,Phalaropus lobatus,,Jory Teltser,2021-09-23,2021,9,23,750,Peru,PE-LIM,Lima,,Isla Pucusana,-12.4758920,-76.8004203,"",,Unspecified,"","",,,,,,,S95051528,"",,,,Z,Phalaropus lobatus,renpha,Species,6021,,5.00,36,,2527,3790
372577331,Photo,Gaviota Peruana,Larus belcheri,,Jory Teltser,2021-09-23,2021,9,23,750,Peru,PE-LIM,Lima,,Isla Pucusana,-12.4758920,-76.8004203,"",,Unspecified,"","",,,,,,,S95051528,"",,,,,Larus belcheri,belgul,Species,,,4.91,46,,2817,5007
435524871,Photo,Tangara de Bufanda Amarilla,Iridosornis reinhardti,,Bradley Hacker 🦜,2022-03-12,2022,3,12,642,Peru,PE-HUC,Huánuco,,Carpish Tunnel (Valqui D5.1),-9.7197960,-76.0989894,"",,Unspecified,"","",,,,,,,S104699475,"",,,,,Iridosornis reinhardti,yestan1,Species,33772,,5.00,35,,2830,4245
426476571,Photo,Pato de los Torrentes,Merganetta armata,,Ben  Lucking,2022-01-31,2022,1,31,1131,Peru,PE-JUN,Junín,,"Auto selected -11.99886, -75.11767",-11.9988620,-75.1176710,"",,Unspecified,"","",,,,,,,S101933523,"",,,,,Merganetta armata,torduc1,Species,416,,4.87,54,,2244,3366
421327941,Photo,Montañes Barbudo,Oreonympha nobilis,,Ben  Lucking,2022-01-31,2022,1,31,647,Peru,PE-JUN,Junín,,"Auto selected -12.18763, -75.23773",-12.1876320,-75.2377290,"",,Unspecified,"","",,,,,,,S101775385,"",,,,,Oreonympha nobilis,beamou1,Species,4436,,4.91,45,,2256,3384
61671661,Photo,Gaviota de Capucha Gris,Chroicocephalus cirrocephalus,,Anonymous,2013-06-28,2013,6,28,1053,Peru,PE-LIM,Lima,,Refugio de Vida Silvestre Los Pantanos de Villa--Laguna Costera y Playa - Marvilla,-12.2243504,-76.9878852,"",,Unspecified,"","",,,,,,,S15201947,"",,,,,Chroicocephalus cirrocephalus,grhgul,Species,,,4.97,37,,2426,4266
435584541,Photo,Hemispingo de Gorro Negro,Kleinothraupis atropileus,,Ben  Lucking,2022-01-31,2022,1,31,1623,Peru,PE-JUN,Junín,,"Auto selected -12.01118, -74.90461",-12.0111790,-74.9046100,"",Vocalizing,Unspecified,"","",,,,,,,S101933594,"",,,,,Kleinothraupis atropileus,blchem1,Species,,,4.85,54,"",2465,3697
77582891,Photo,Flamenco Chileno,Phoenicopterus chilensis,,Chris Wood,2017-11-13,2017,11,13,627,Peru,PE-ICA,Ica,,Paracas--Hilton Resort,-13.8567193,-76.2520936,"",,Unspecified,"","",,,,,,,S40486650,"",,,,,Phoenicopterus chilensis,chifla1,Species,,,4.95,39,,2038,3396
70040191,Photo,Pato de los Torrentes,Merganetta armata,,Timo Mitzen,2017-09-01,2017,9,1,805,Peru,PE-CUS,Cuzco [Cusco],,Santuario Historico Machu Picchu--Ferrocarril (Aguas Calientes a Mandor),-13.1501553,-72.5360620,"",,Unspecified,"","",,,,,,,S38959029,"",,,,,Merganetta armata,torduc1,Species,,,4.81,64,,1668,2529
415621951,Photo,Playerito Menudo,Calidris minutilla,,David F. Belmonte,2022-02-12,2022,2,12,635,Peru,PE-LIM,Lima,,Refugio de Vida Silvestre Los Pantanos de Villa,-12.2140549,-76.9893005,"",,Unspecified,"","",,,,,,,S102538232,"",,,,,Calidris minutilla,leasan,Species,,,5.00,33,,3600,5408
419710201,Photo,Pelícano Peruano,Pelecanus thagus,,Oscar Wainwright,2022-01-28,2022,1,28,820,Peru,PE-LIM,Lima,,"Auto selected -12.16790, -77.03773",-12.1678970,-77.0377340,"",,Unspecified,"","",,,,,,,S101572852,"",,,,,Pelecanus thagus,perpel1,Species,7112,,4.87,46,,1870,2806
77582251,Photo,Gaviota Peruana,Larus belcheri,,Chris Wood,2017-11-13,2017,11,13,627,Peru,PE-ICA,Ica,,Paracas--Hilton Resort,-13.8567193,-76.2520936,Adult,,Unspecified,"","",,,,,,,S40486650,"",,,,,Larus belcheri,belgul,Species,6311,,4.92,39,,1955,3258
205152851,Photo,Colibrí Cola de Espátula,Loddigesia mirabilis,,Dubi Shapiro,2011-11-07,2011,11,7,0,Peru,PE-AMA,Amazonas,,"La Florida (-5.8314, -77.9169)",-5.8314000,-77.9169000,Adult Male – 1,Flying,Unspecified,"","",,IBC989092,,,,,S65093247,"",,,"Male in Flight. Elevation: 2482 m. Date added to IBC: February 2, 2018.",,Loddigesia mirabilis,marspa1,Species,,,4.94,36,"",480,720
77579131,Photo,Gaviota Gris,Leucophaeus modestus,,Chris Wood,2017-11-13,2017,11,13,627,Peru,PE-ICA,Ica,,Paracas--Hilton Resort,-13.8567193,-76.2520936,"",,Unspecified,"","",,,,,,,S40486650,"",,,,,Leucophaeus modestus,grygul,Species,6294,,4.92,37,,1856,3093
70041481,Photo,Gallito-de-las-Rocas Andino,Rupicola peruvianus,,Timo Mitzen,2017-09-05,2017,9,5,1550,Peru,PE-CUS,Cuzco [Cusco],,Carretera a Manú--Cock-of-the-Rock Lek,-13.0657106,-71.5617844,"",,Unspecified,"","",,,,,,,S39162021,"",,,,,Rupicola peruvianus,andcot1,Species,,,4.92,37,,3648,5472
214778571,Photo,Zambullidor de Junín,Podiceps taczanowskii,,Lars Petersson,2019-12-05,2019,12,5,530,Peru,PE-JUN,Junín,,RN de Junín--Lago Junín/Chinchaycocha,-11.0166885,-76.0913086,"","",Unspecified,"","",,,,,,,S63850061,"",,,A pair of Junin Grebe swimming on tranquil waters.,,Podiceps taczanowskii,jungre1,Species,1815,,4.97,32,Habitat,1080,1728
61000351,Photo,Gaviota Peruana,Larus belcheri,,Anonymous,2011-03-15,2011,3,15,0,Peru,PE-LIM,Lima,,Lima- Shopping Mall Beach,-12.1340585,-77.0344677,"",,Unspecified,"","",,,,,,,S7997978,"",,,,,Larus belcheri,belgul,Species,6311,,4.97,32,,2954,5048
379871121,Photo,Matorralero de Cusco,Atlapetes canigenis,,Jory Teltser,2021-09-10,2021,9,10,1530,Peru,PE-CUS,Cuzco [Cusco],,Abra Málaga--Cloud Forest (2700-3000m),-13.0688456,-72.3985931,"",,Unspecified,"","",,,,,,,S94481153,"",,,,YEESH dem sexy mf’s,Atlapetes canigenis,cuzbrf1,Species,,,4.87,45,,1646,2469
70041441,Photo,Gallito-de-las-Rocas Andino,Rupicola peruvianus,,Timo Mitzen,2017-09-05,2017,9,5,1550,Peru,PE-CUS,Cuzco [Cusco],,Carretera a Manú--Cock-of-the-Rock Lek,-13.0657106,-71.5617844,"",,Unspecified,"","",,,,,,,S39162021,"",,,,,Rupicola peruvianus,andcot1,Species,,,4.88,40,,2649,4065
31432241,Photo,Lechucita Bigotona,Xenoglaux loweryi,,Andrew Spencer,2012-10-26,2012,10,26,2100,Peru,PE-AMA,Amazonas,,ACP Abra Patricia--Owlet Lodge,-5.6978731,-77.8103521,Adult,,Unspecified,"","",,,,,,,S30775028,"",,,,,Xenoglaux loweryi,lowowl1,Species,8664,,4.97,31,,3396,4776
424826951,Photo,Pitajo de Pecho Rufo,Ochthoeca rufipectoralis,,Ben  Lucking,2022-02-08,2022,2,8,535,Peru,PE-HUC,Huánuco,,Bosque Unchog (Valqui D5.3),-9.7373144,-76.1698347,"Adult – 1; Immature – 1",Feeding Young,Unspecified,"","",,,,,,,S102308626,"",,,,,Ochthoeca rufipectoralis,rbctyr1,Species,,,4.94,33,"",1961,2941
205730251,Photo,Gallineta Negra (tuerosi),Laterallus jamaicensis tuerosi,,William Price,2016-08-04,2016,8,4,2000,Peru,PE-JUN,Junín,,Junín National Reserve,-11.0801000,-76.1280000,"",,Unspecified,"","",,IBC1262665,,,,,S65131940,"",,,"Junin Rail. At night attracted by play back. Elevation: 4083 m. Date added to IBC: August 17, 2016.",,Laterallus jamaicensis,blkrai3,Group,5522,,4.81,48,,800,1200
424831131,Photo,Tangara-de-Montaña de Dorso Dorado,Cnemathraupis aureodorsalis,,Ben  Lucking,2022-02-08,2022,2,8,535,Peru,PE-HUC,Huánuco,,Bosque Unchog (Valqui D5.3),-9.7373144,-76.1698347,Immature – 1,,Unspecified,"","",,,,,,,S102308626,"",,,,,Cnemathraupis aureodorsalis,gbmtan1,Species,33724,,4.87,39,,2818,4227
61001421,Photo,Gaviotín Zarcillo,Larosterna inca,,Anonymous,2011-03-17,2011,3,17,0,Peru,PE-LIM,Lima,,Pucusana (pueblo),-12.4826632,-76.7970890,"",,Unspecified,"","",,,,,,,S7997981,"",,,,,Larosterna inca,incter1,Species,6502,,4.87,38,,2598,4297
61672901,Photo,Ibis de la Puna,Plegadis ridgwayi,,Anonymous,2013-07-01,2013,7,1,1113,Peru,PE-JUN,Junín,,Lago Junin,-11.0406830,-76.0990390,"",,Unspecified,"","",,,,,,,S14981296,"",,,,"High Count; careful estimate",Plegadis ridgwayi,punibi1,Species,7350,,4.89,36,,2932,4440
61000841,Photo,Churrete de Vientre Blanco,Cinclodes palliatus,,Anonymous,2011-03-16,2011,3,16,0,Peru,PE-JUN,Junín,,Distrito Marcapomacocha,-11.4216298,-76.3484573,"",,Unspecified,"","",,,,,,,S7997980,"",,,,,Cinclodes palliatus,whbcin1,Species,14481,,4.94,31,,1602,2791
420884601,Photo,Estrella de Pecho Negro,Oreotrochilus melanogaster,,Brandon Nidiffer,2022-02-10,2022,2,10,1054,Peru,PE-JUN,Junín,,RN de Junín--Mirador de Conoc,-11.0549620,-76.1568626,Adult Male – 1,,Unspecified,"","",,,,,,,S102446338,"",,,,,Oreotrochilus melanogaster,blbhil1,Species,4393,,4.86,36,,1330,1995
372577681,Photo,Pelícano Peruano,Pelecanus thagus,,Jory Teltser,2021-09-23,2021,9,23,750,Peru,PE-LIM,Lima,,Isla Pucusana,-12.4758920,-76.8004203,"",,Unspecified,"","",,,,,,,S95051528,"",,,,,Pelecanus thagus,perpel1,Species,,,4.80,44,,2717,2174
428684271,Photo,Minero Peruano,Geositta peruviana,,Ben  Lucking,2022-02-12,2022,2,12,1137,Peru,PE-LIM,Lima,,RN Lomas de Lachay--Camino de Acceso,-11.3781167,-77.3752213,"",,Unspecified,"","",,,,,,,S102532613,"",,,,,Geositta peruviana,coamin1,Species,13944,,4.77,47,,2097,3145
91352091,Photo,Hoazín,Opisthocomus hoazin,,Ed Harper,2018-03-18,2018,3,18,630,Peru,PE-LOR,Loreto,,"(-4.2558,-73.3880)",-4.2557940,-73.3879900,"",,Unspecified,"","",,,,,,,S43955470,"",,,,,Opisthocomus hoazin,hoatzi1,Species,,,4.79,43,,2878,2878
420877571,Photo,Estrella de Pecho Negro,Oreotrochilus melanogaster,,Ben  Lucking,2022-02-10,2022,2,10,1054,Peru,PE-JUN,Junín,,RN de Junín--Mirador de Conoc,-11.0549620,-76.1568626,Adult Male – 1,,Unspecified,"","",,,,,,,S102398412,"",,,,,Oreotrochilus melanogaster,blbhil1,Species,4393,,4.96,27,,2501,3751
182738101,Photo,Clorofonia de Nuca Azul,Chlorophonia cyanea,,Roger Ahlman,2019-09-13,2019,9,13,620,Peru,PE-CUS,Cuzco [Cusco],,Inkaterra Machu Picchu Pueblo Hotel,-13.1576666,-72.5224949,Adult Male – 1,,Unspecified,"","",,,,,,,S59728230,"",,,,,Chlorophonia cyanea,blnchl1,Species,30937,,4.96,27,,1830,2523
61673311,Photo,Canastero de Junín,Asthenes virgata,,Anonymous,2013-07-05,2013,7,5,1440,Peru,PE-JUN,Junín,,Lago Junin,-11.0406830,-76.0990390,"",,Unspecified,"","",,,,,,,S14981332,"",,,,,Asthenes virgata,juncan1,Species,14767,,4.96,27,,2430,3912
421775001,Photo,Aguilucho Caminero,Rupornis magnirostris,,Oscar Wainwright,2022-02-05,2022,2,5,1723,Peru,PE-PAS,Pasco,,"Auto selected -10.65919, -75.33685",-10.6591920,-75.3368450,"",,Unspecified,"","",,,,,,,S103298544,"",,,,,Rupornis magnirostris,roahaw,Species,,,4.84,37,,3348,5022
214778471,Photo,Estrella de Pecho Negro,Oreotrochilus melanogaster,,Lars Petersson,2019-12-05,2019,12,5,530,Peru,PE-JUN,Junín,,RN de Junín--Lago Junín/Chinchaycocha,-11.0166885,-76.0913086,Adult Male – 1,"",Unspecified,"","",,,,,,,S63850061,"",,,Side view of a male Black-breasted Hillstar perched on the Chuquiragua.,,Oreotrochilus melanogaster,blbhil1,Species,4393,,4.83,41,Habitat,1080,1555
66383931,Photo,Tangara Azuleja [grupo episcopus],Thraupis episcopus [episcopus Group],,Brian Sullivan,2017-07-17,2017,7,17,1330,Peru,PE-MDD,Madre de Dios,,Amazonía Lodge,-12.8702100,-71.3756400,Adult,,Unspecified,"","",,,,,,,S38242563,"",,,,,Thraupis episcopus,bugtan2,Group,33797,,4.82,39,,1500,2500
420877541,Photo,Estrella de Pecho Negro,Oreotrochilus melanogaster,,Ben  Lucking,2022-02-10,2022,2,10,1054,Peru,PE-JUN,Junín,,RN de Junín--Mirador de Conoc,-11.0549620,-76.1568626,Adult Male – 1,,Unspecified,"","",,,,,,,S102398412,"",,,,,Oreotrochilus melanogaster,blbhil1,Species,4393,,4.96,26,,2769,4154
417385141,Photo,Gaviotín Zarcillo,Larosterna inca,,Ben  Lucking,2022-01-29,2022,1,29,827,Peru,PE-LIM,Lima,,El Salto del Fraile,-12.1705163,-77.0366330,Immature – 1,,Unspecified,"","",,,,,,,S101644501,"",,,,,Larosterna inca,incter1,Species,6502,,4.96,26,,3317,4976
263179451,Photo,Churrete de Vientre Blanco,Cinclodes palliatus,,Jeremiah Trimble,2013-07-06,2013,7,6,1007,Peru,PE-LIM,Lima,,"PE-Junín Region - -11.6225x-76.2366 - Jul 9, 2013, 9:12 AM",-11.6225490,-76.2365640,"",,Unspecified,"","",,,,,,,S14606434,"",,,,"High Count: very careful count of this critically endangered bird; group of 4 in one area and 6 in another;",Cinclodes palliatus,whbcin1,Species,14481,,4.96,26,,1842,2700
416586991,Photo,Zambullidor de Junín,Podiceps taczanowskii,,Ben  Lucking,2022-02-10,2022,2,10,713,Peru,PE-JUN,Junín,,RN de Junín--Lago Junín/Chinchaycocha,-11.0166885,-76.0913086,"",,Unspecified,"","",,,,,,,S102398342,"",,,,,Podiceps taczanowskii,jungre1,Species,1815,,5.00,24,,1632,2448
